Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 59.37      2.95     2.95 38476479    76.68    76.68  median
 10.89      3.49     0.54 38476800    14.06    14.06  gen_pixel
  8.37      3.91     0.42 38476800    10.81    10.81  clip_window
  5.85      4.20     0.29 38476800     7.55     7.55  shift_window
  5.14      4.45     0.26 38476800     6.64   112.22  pixel_processing
  3.83      4.64     0.19 38476800     4.95     4.95  buffer
  2.82      4.78     0.14 38476800     3.65    26.95  system_input
  1.51      4.86     0.08 38476479     1.95     1.95  thresholding
  1.41      4.93     0.07                             main
  0.00      4.93     0.00      501     0.00     0.00  update_base_pos
  0.00      4.93     0.00       50     0.00     0.00  histogram_clean
  0.00      4.93     0.00       50     0.00     0.00  otsu
