Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 62.02     32.98    32.98 384764790     0.09     0.09  median
 10.00     38.30     5.32 384768000     0.01     0.01  gen_pixel
  8.74     42.95     4.65 384768000     0.01     0.01  clip_window
  5.34     45.79     2.84 384768000     0.01     0.12  pixel_processing
  4.46     48.16     2.37 384768000     0.01     0.01  shift_window
  3.66     50.11     1.95 384768000     0.01     0.01  buffer
  2.80     51.60     1.49 384768000     0.00     0.03  system_input
  0.95     52.10     0.51 384764790     0.00     0.00  thresholding
  0.79     52.52     0.42                             main
  0.11     52.58     0.06     5010    12.00    12.00  update_base_pos
  0.00     52.58     0.00      500     0.00     0.00  histogram_clean
  0.00     52.58     0.00      500     0.00     0.00  otsu
